sentence_index,agent,
1,"the bottom of a big , tall hill called Mount Munch",
1,the Deadly Sandy Desert,
1,"a big , tall hill called Mount Munch",
2,The Munchkin folks,
2,The Munchkin folks,
2,any people,
3,people,
4,peak,
4,that,
4,trees,
5,each,
5,the people,
6,the people,
6,the Munchkins,
7,"a wise old Hyup named Bini Aru , who used to be a clever Sorcerer",
8,Royal Ozma of Oz,
8,"Royal Ozma of Oz , who rules everyone in the Land of Oz",
8,no one,
8,Royal Ozma of Oz,
8,Glinda the Sorceress the Sorceress,
8,"a wise old Hyup named Bini Aru , who used to be a clever Sorcerer",
8,"a wise old Hyup named Bini Aru , who used to be a clever Sorcerer",
9,"a wise old Hyup named Bini Aru , who used to be a clever Sorcerer",
9,"a wise old Hyup named Bini Aru , who used to be a clever Sorcerer",
9,no one,
10,He,
10,He,
11,only one thing,
12,He,
13,Glinda the Sorceress,
13,"the little Wizard of Oz , nor the little",
13,anyone else,
15,you,
16,Bini Aru,
16,Bini Aru,
16,Bini Aru,
17,Bini Aru,
17,Bini Aru,
17,Bini Aru,
18,Bini Aru,
18,Bini Aru,
19,All beasts and birds,
19,a cow,
19,a cow,
19,the mystical word,
19,"the mystical word : "" Pyrzqxgl",
20,I,
20,I,
20,I 's readers,
20,I,
20,no one in all the world except Bini Aru,
20,I,
22,Bini Aru,
22,Bini Aru,
23,Bini Aru,
23,Bini Aru,
23,Royal Royal Ozma,
23,Bini Aru,
23,Royal Royal Ozma,
23,Royal Royal Ozma,
23,Royal Royal Ozma 's subjects,
23,Bini Aru,
23,Bini Aru,
24,he,
24,he,
24,he,
24,he,
24,no one else,
25,what,
25,what,
25,to find a secret place,
25,he,
26,he,
26,he,
26,others,
27,he,
28,he,
28,a wife named Mopsi Aru,
28,he,
29,He,
29,He,
29,He,
29,father,
30,No one,
31,all the Hyups,
33,The young folks,
33,The young folks,
33,the women,
33,the men,
33,the men,
34,Kiki Aru,
34,Kiki Aru,
34,Kiki Aru,
34,Kiki Aru,
35,the festival,
35,Kiki Aru,
35,Kiki Aru,
36,Kiki Aru,
36,Bini Aru and Mopsi Aru,
37,Kiki Aru,
37,Kiki Aru,
37,Kiki Aru,
37,Kiki Aru,
37,Kiki Aru,
37,Bini Aru,
37,Bini Aru,
39,He,
39,He,
41,He,
41,He,
41,He,
42,stubbed,
42,He,
43,He,
43,He,
44,his father,
45,his father,
46,Kiki Aru,
46,Kiki Aru,
46,Kiki Aru,
47,Kiki Aru,
47,Kiki Aru,
48,Kiki Aru,
48,Kiki Aru,
48,Kiki Aru,
48,something written,
48,the magic word Pyrzqxgl,
49,Kiki Aru,
49,Kiki Aru,
49,Kiki Aru,
49,Kiki Aru,
49,Kiki Aru,
50,Kiki Aru,
50,Kiki Aru,
50,Kiki Aru,
50,no one,
51,Kiki Aru,
51,sitting beneath a tree,
52,Kiki Aru,
52,Kiki Aru,
52,Kiki Aru,
52,Kiki Aru,
52,Kiki Aru,
52,Kiki Aru,
53,a bird,
53,Kiki Aru,
53,Kiki Aru,
54,he,
54,he,
54,he,
55,he,
55,he,
55,he,
56,he,
56,he,
57,he,
57,he,
58,he,
58,he,
59,He,
59,He,
59,He,
59,He,
61,He,
61,He,
61,He,
61,this sort of a bird,
62,He,
62,He,
62,He,
63,He,
63,He,
64,He,
64,He,
64,He,
64,He,
65,Glinda the Sorceress or the Wizard of Oz,
65,Glinda the Sorceress or the Wizard of Oz,
67,Kiki Aru,
67,Kiki Aru,
67,another country,
69,Kiki Aru,
69,Kiki Aru,
69,Kiki Aru,
70,the fresh air,
71,"by the Gingerbread Man , Gingerbread Man , with Chick the Cherub as the Gingerbread Man , Gingerbread Man",
72,Kiki Aru,
72,by a lovely Wax Doll,
73,Kiki Aru,
74,Kiki Aru,
75,Kiki Aru,
75,a house near by,
76,A man,
76,woman,
76,a pleasant - faced woman,
77,Kiki Aru,
77,hawks,
78,Kiki Aru,
78,Kiki Aru,
79,he,
79,he,
79,he,
79,he,
80,he,
80,he,
80,he,
80,he,
81,the man of the house,
82,he,
83,the man of the house,
84,Kiki Aru,
84,Kiki Aru,
84,Kiki Aru,
84,the good people of Noland,
86,the good people of Noland,
86,the good people of Noland,
86,Kiki Aru,
86,Kiki Aru,
87,Kiki Aru,
87,Kiki Aru,
87,Kiki Aru,
87,Kiki Aru,
87,Kiki Aru,
87,Kiki Aru,
87,Kiki Aru,
88,Queen Zixi of the Kingdom of Ix,
89,he,
89,he,
89,he,
89,he,
89,he,
89,he,
90,he,
90,he,
91,he,
91,he,
92,he,
92,he,
92,the inn - keeper,
92,he,
93,This,
93,they,
93,everyone,
93,everyone,
94,He,
94,He,
95,He,
95,He,
95,He,
95,an old man,
95,He,
96,Kiki Aru,
96,"One of gold pieces , which Kiki Aru thought to be money",
96,He,
96,He,
96,He,
96,Kiki Aru,
96,Kiki Aru,
96,an old man,
97,an old man,
97,Kiki Aru,
97,an old man,
97,an old man,
97,Kiki Aru,
97,He,
97,Kiki Aru,
98,He,
98,He,
98,He,
98,He,
98,Kiki Aru,
98,Kiki Aru,
100,a small voice just over You 's head,
101,You,
101,You,
101,a sparrow,
103,You,
104,"a sparrow , perched upon a branch",
104,a sparrow,
104,a sparrow,
104,perched upon a branch,
105,I,
105,you,
105,you,
105,you,
105,I,
105,you,
106,you,
108,you,
108,you,
108,you,
110,I,
110,I,
111,I,
112,I,
112,I,
113,someone behind I,
114,someone behind him,
115,The sparrow,
115,The sparrow,
116,Kiki Aru,
118,a queer old man,
119,a queer old man,
120,He,
121,I,
121,I.,
121,He,
122,I.,
124,What,
124,them,
124,the Hyup boy,
126,them,
127,I,
