sentence_index,agent,
2,Fountains,
2,"the vast colonnade , open to the south ,",
2,a hundred of the most beautiful girls of the Fairyland of Oz,
2,a hundred of the most beautiful girls of the Fairyland of Oz 's embroideries,
2,trees,
3,one,
3,one,
3,-- a hundred of the most beautiful girls of the Fairyland of Oz,
3,the others,
3,one,
3,by a companion,
4,"Glinda , the good Sorceress of Oz",
4,"Glinda , the good Sorceress of Oz",
4,a hundred of the most beautiful girls of the Fairyland of Oz,
5,an object,
5,the broad path,
6,Some of the girls,
6,the Sorceress,
6,the Sorceress,
6,an object,
6,the Sorceress,
7,the broad path,
7,broad path,
7,Glinda the Sorceress,
8,Glinda the Sorceress,
8,Glinda the Sorceress,
8,"her friend and mistress -- the only one in all the land that Glinda the Sorceress bowed to were dressed in simple white muslin gowns , and as her friend and mistress -- the only one in all the land that Glinda the Sorceress bowed to",
8,Glinda the Sorceress,
8,Glinda the Sorceress,
8,Glinda the Sorceress,
8,Glinda the Sorceress,
9,The maids of honor,
9,the Sorceress,
9,Glinda the Sorceress,
10,you,
10,Royal Ozma,
11,We Royal Ozma,
11,We,
11,We,
11,We,
11,We,
12,Dorothy the Lamb,
12,the Sawhorse,
13,Royal Ozma,
14,Glinda the Sorceress Glinda the Sorceress,
15,Royal Ozma,
15,Dorothy the Lamb,
15,Dorothy the Lamb,
15,the Lamb,
15,Dorothy the Lamb,
15,Dorothy the Lamb,
15,others,
16,Dorothy the Lamb,
16,Dorothy the Lamb,
16,Glinda the Sorceress and Royal Ozma,
17,Dorothy the Lamb,
18,her hostess,
19,her hostess,
19,her hostess,
19,her hostess,
20,I,
21,a record of every event that happens in any part of the world,
21,a record of every event that happens in any part of the world,
21,a record of every event that happens in any part of the world,
21,one,
22,even Glinda the Sorceress 's Great Book,
23,Glinda the Sorceress 's,
23,Dorothy the Lamb,
23,Dorothy the Lamb,
23,Dorothy the Lamb,
23,Dorothy the Lamb,
23,"Dorothy the Lamb ,",
23,"Dorothy the Lamb ,",
23,Dorothy the Lamb,
23,"Dorothy the Lamb ,",
23,"Dorothy the Lamb ,",
23,Dorothy the Lamb,
23,"Dorothy the Lamb ,",
23,Dorothy the Lamb,
23,Sorceress,
24,Dorothy the Lamb,
24,something,
25,she,
27,she,
28,you,
29,you,
29,you,
30,I,
30,No one I know,
30,No one I know,
32,I,
33,I,
33,no one else,
34,the Book,
34,them,
34,them Oz,
34,the Book,
34,Royal Ozma,
35,Dorothy the Lamb,
35,Royal Ozma and Glinda the Sorceress,
36,Royal Ozma,
37,Glinda the Sorceress,
37,Glinda the Sorceress,
38,Glinda the Sorceress,
38,Glinda the Sorceress,
39,those,
39,those,
39,by those from our favored part of Oz 's own countries,
39,by those from our favored part of Oz,
40,you,
40,I,
41,you,
41,I,
42,You,
42,you,
42,you,
42,you,
42,I,
43,I,
